model,funny_or_sad,true_label,accuracy,precision,recall,f1
microsoft_deberta_v3_base_AdamW_with_dropout_cls_results,funny,overall,0.3361,0.1468,0.2042,0.1433
microsoft_deberta_v3_base_AdamW_with_dropout_cls_results,funny,1,0.6891,0.2,0.1071,0.1395
microsoft_deberta_v3_base_AdamW_with_dropout_cls_results,funny,2,0.437,0.3673,0.878,0.518
microsoft_deberta_v3_base_AdamW_with_dropout_cls_results,funny,3,0.7311,0.1667,0.0357,0.0588
microsoft_deberta_v3_base_AdamW_with_dropout_cls_results,funny,4,0.8487,0.0,0.0,0.0
microsoft_deberta_v3_base_AdamW_with_dropout_cls_results,funny,5,0.9664,0.0,0.0,0.0
microsoft_deberta_v3_base_AdamW_with_dropout_cls_results,sad,overall,0.479,0.1403,0.1849,0.1541
microsoft_deberta_v3_base_AdamW_with_dropout_cls_results,sad,1,0.5126,0.5347,0.8308,0.6506
microsoft_deberta_v3_base_AdamW_with_dropout_cls_results,sad,2,0.6303,0.1667,0.0938,0.12
microsoft_deberta_v3_base_AdamW_with_dropout_cls_results,sad,3,0.8908,0.0,0.0,0.0
microsoft_deberta_v3_base_AdamW_with_dropout_cls_results,sad,4,0.958,0.0,0.0,0.0
microsoft_deberta_v3_base_AdamW_with_dropout_cls_results,sad,5,0.9664,0.0,0.0,0.0
microsoft_deberta_v3_base_AdamW_with_dropout_mean_pooling_results,funny,overall,0.3025,0.1404,0.1892,0.1476
microsoft_deberta_v3_base_AdamW_with_dropout_mean_pooling_results,funny,1,0.6723,0.2105,0.1429,0.1702
microsoft_deberta_v3_base_AdamW_with_dropout_mean_pooling_results,funny,2,0.437,0.3488,0.7317,0.4724
microsoft_deberta_v3_base_AdamW_with_dropout_mean_pooling_results,funny,3,0.6807,0.1429,0.0714,0.0952
microsoft_deberta_v3_base_AdamW_with_dropout_mean_pooling_results,funny,4,0.8487,0.0,0.0,0.0
microsoft_deberta_v3_base_AdamW_with_dropout_mean_pooling_results,funny,5,0.9664,0.0,0.0,0.0
